geometry,beta,criterion,target,same_sector,carrier_vs_space_sector,same_sector_z,carrier_space_z,transition_combo_z,transition_combo_exc,bw_selected,inner_r,outer_r,gap
cubic,0.0,score_q,0.6,0.989999010447155,0.0041008368970404385,9.460355989353133,1.401982545405947,5.4311692673795395,1.0,0.01,8.986100377805714,9.836157786453,0.8500574086472863
cubic,0.0,score_q,0.61,0.9801835719732296,-0.011883078568689975,344658268280.21454,129811140218.98999,237234704249.60226,1.0,0.003,8.986100377805714,10.523782589924593,1.5376822121188791
cubic,0.0,score_q,0.62,0.9801835719732296,-0.011883078568689975,26.510679181328396,4.252741559231948,15.381710370280171,1.0,0.013,8.986100377805714,10.523782589924593,1.5376822121188791
cubic,0.0,score_q,0.65,0.9822209909928601,-0.011888341954244708,564162952224.5153,334390720024.5738,449276836124.54456,1.0,0.013,9.630680142129112,11.169153951844338,1.5384738097152262
cubic,0.0,score_q,0.75,0.9956119431428875,0.01198913646385269,,,,,0.005,10.136567466356647,10.897247358851684,0.7606798924950375
cubic,0.0,score_q,0.78,0.9972139121464855,0.008711952137279488,,,,,0.007,10.805091392487155,11.521718621802913,0.7166272293157583
cubic,0.0,score_iso,0.6,0.989999010447155,0.0041008368970404385,285750243899.6914,-11569546266.88811,137090348816.40164,0.5,0.01,8.986100377805714,9.836157786453,0.8500574086472863
cubic,0.0,score_iso,0.61,0.9801835719732296,-0.011883078568689975,367486484835.2142,187950866852.2185,277718675843.7163,1.0,0.003,8.986100377805714,10.523782589924593,1.5376822121188791
cubic,0.0,score_iso,0.62,0.9801835719732296,-0.011883078568689975,552614934705.846,357249659117.97327,454932296911.9096,1.0,0.013,8.986100377805714,10.523782589924593,1.5376822121188791
cubic,0.0,score_iso,0.65,0.9822209909928601,-0.011888341954244708,503648814598.481,306170378627.28973,404909596612.8854,1.0,0.013,9.630680142129112,11.169153951844338,1.5384738097152262
cubic,0.0,score_iso,0.75,0.9956119431428875,0.01198913646385269,,,,,0.005,10.136567466356647,10.897247358851684,0.7606798924950375
cubic,0.0,score_iso,0.78,0.9972139121464855,0.008711952137279488,,,,,0.007,10.805091392487155,11.521718621802913,0.7166272293157583
cubic,0.0,q_only,0.6,0.989999010447155,0.0041008368970404385,5.695114136405632,10.944405009906518,8.319759573156075,1.0,0.01,8.986100377805714,9.836157786453,0.8500574086472863
cubic,0.0,q_only,0.61,0.9801835719732296,-0.011883078568689975,2.18928815664662,1.295404877647228,1.742346517146924,1.0,0.003,8.986100377805714,10.523782589924593,1.5376822121188791
cubic,0.0,q_only,0.62,0.9801835719732296,-0.011883078568689975,7.413988059945902,13.730966565994443,10.572477312970172,1.0,0.013,8.986100377805714,10.523782589924593,1.5376822121188791
cubic,0.0,q_only,0.65,0.9822209909928601,-0.011888341954244708,,,,,0.013,9.630680142129112,11.169153951844338,1.5384738097152262
cubic,0.0,q_only,0.75,0.9956119431428875,0.01198913646385269,,,,,0.005,10.136567466356647,10.897247358851684,0.7606798924950375
cubic,0.0,q_only,0.78,0.9972139121464855,0.008711952137279488,,,,,0.007,10.805091392487155,11.521718621802913,0.7166272293157583
cubic,0.0,xyz_only,0.6,0.989999010447155,0.0041008368970404385,10.796185880014614,6.027050447460705,8.411618163737659,1.0,0.01,8.986100377805714,9.836157786453,0.8500574086472863
cubic,0.0,xyz_only,0.61,0.9801835719732296,-0.011883078568689975,2.157661834558042,1.6188348074602543,1.888248321009148,1.0,0.003,8.986100377805714,10.523782589924593,1.5376822121188791
cubic,0.0,xyz_only,0.62,0.9801835719732296,-0.011883078568689975,18.710387542107767,2.04267809394487,10.37653281802632,1.0,0.013,8.986100377805714,10.523782589924593,1.5376822121188791
cubic,0.0,xyz_only,0.65,0.9822209909928601,-0.011888341954244708,405383362759.2009,116887082172.39908,261135222465.8,1.0,0.013,9.630680142129112,11.169153951844338,1.5384738097152262
cubic,0.0,xyz_only,0.75,0.9956119431428875,0.01198913646385269,,,,,0.005,10.136567466356647,10.897247358851684,0.7606798924950375
cubic,0.0,xyz_only,0.78,0.9972139121464855,0.008711952137279488,,,,,0.007,10.805091392487155,11.521718621802913,0.7166272293157583
tet_1.05,0.0,score_q,0.6,0.9899990104471552,0.004100836897042881,250278828292.53134,93410385956.76477,171844607124.64807,1.0,0.01,8.986100377805714,9.836157786453,0.8500574086472863
tet_1.05,0.0,score_q,0.61,0.9801835719732296,-0.011883078568687866,615760167255.13,381880643862.70526,498820405558.9176,1.0,0.003,8.986100377805714,10.523782589924593,1.5376822121188791
tet_1.05,0.0,score_q,0.62,0.9801835719732296,-0.011883078568687866,695151769283.0173,494929327900.36194,595040548591.6897,1.0,0.013,8.986100377805714,10.523782589924593,1.5376822121188791
tet_1.05,0.0,score_q,0.65,0.9822209909928601,-0.011888341954243375,304833551559.5819,-4810558442.582158,150011496558.49988,0.5,0.013,9.630680142129112,11.169153951844338,1.5384738097152262
tet_1.05,0.0,score_q,0.75,0.9956119431428873,0.011989136463854244,,,,,0.005,10.136567466356647,10.897247358851684,0.7606798924950375
tet_1.05,0.0,score_q,0.78,0.9972139121464848,0.008711952137280599,,,,,0.007,10.805091392487155,11.521718621802913,0.7166272293157583
tet_1.05,0.0,score_iso,0.6,0.9899990104471552,0.004100836897042881,4.825688802299964,4.236713991684565,4.531201396992264,1.0,0.01,8.986100377805714,9.836157786453,0.8500574086472863
