geometry,beta,local_mode_index,eigenvalue,variant,dominant_q,q_family,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,score_q,score_iso,score_q_only,score_xyz_only
cubic,0.0,1,-4.924508100834311e-15,base_r1,X1+Y1,"2-axis:(1, 1)",5.951292799343076e-22,2.2808401258213576e-18,0.9999999999999979,1.8749999997656228,1.3573947417253402e-39,2.280840125821353e-18,5.951292799343076e-22,2.2808401258213576e-18
cubic,0.0,1,-4.924508100834311e-15,x+_r1,X1+Y1+Z1,"3-axis:(1, 1, 1)",1.1209043931701001e-21,3.1803263726241462e-18,0.9999999999999979,1.8749999997656228,3.5648418027891345e-39,3.1803263726241397e-18,1.1209043931701001e-21,3.1803263726241462e-18
cubic,0.0,1,-4.924508100834311e-15,y+_r1,X1+Z1,"2-axis:(1, 1)",2.149885128105898e-21,3.7425052768758894e-18,0.9999999999999979,1.8749999997656228,8.045956436613322e-39,3.742505276875882e-18,2.149885128105898e-21,3.7425052768758894e-18
cubic,0.0,1,-4.924508100834311e-15,z+_r1,X1+Y1,"2-axis:(1, 1)",2.7783044080554937e-21,4.393026580367192e-18,0.9999999999999979,1.8749999997656228,1.220516511293912e-38,4.393026580367183e-18,2.7783044080554937e-21,4.393026580367192e-18
cubic,0.0,1,-4.924508100834311e-15,xy+_r1,X1+Z2,"2-axis:(1, 2)",1.4186806221204023e-21,3.3088244078816877e-18,0.9999999999999979,1.8749999997656228,4.6941650694607645e-39,3.3088244078816807e-18,1.4186806221204023e-21,3.3088244078816877e-18
cubic,0.0,1,-4.924508100834311e-15,xz+_r1,X1+Z1,"2-axis:(1, 1)",1.72858795277119e-21,4.0878437466305314e-18,0.9999999999999979,1.8749999997656228,7.06619745323658e-39,4.087843746630523e-18,1.72858795277119e-21,4.0878437466305314e-18
cubic,0.0,1,-4.924508100834311e-15,yz+_r1,Y1,"1-axis:(1,)",1.6668039696919708e-21,3.726443022468697e-18,0.9999999999999979,1.8749999997656228,6.21125002268177e-39,3.7264430224686894e-18,1.6668039696919708e-21,3.726443022468697e-18
cubic,0.0,1,-4.924508100834311e-15,xyz+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.7123191109558098e-21,3.124108482198972e-18,0.9999999999999979,1.8749999997656228,5.349470658768448e-39,3.1241084821989653e-18,1.7123191109558098e-21,3.124108482198972e-18
cubic,0.0,1,-4.924508100834311e-15,base_r2,X1+Y1+Z2,"3-axis:(1, 1, 2)",3.0549687584650266e-21,5.40494860802033e-18,0.9999999999999979,1.8749999997656228,1.651194913861114e-38,5.404948608020318e-18,3.0549687584650266e-21,5.40494860802033e-18
cubic,0.0,1,-4.924508100834311e-15,base_avg12,X1+Y1+Z1,"3-axis:(1, 1, 1)",1.1032367130772417e-21,2.5980696503634124e-18,0.9999999999999979,1.8749999997656228,2.8662858214126695e-39,2.598069650363407e-18,1.1032367130772417e-21,2.5980696503634124e-18
cubic,0.0,2,0.9607359798384625,base_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",2.0014077019695645e-21,3.56481658749632e-18,0.1962281448820507,2.4879907999410165,7.134651374323995e-39,6.995173458091655e-19,2.0014077019695645e-21,3.56481658749632e-18
cubic,0.0,2,0.9607359798384625,x+_r1,Y1+Z1,"2-axis:(1, 1)",8.30846019316916e-22,2.811898412159165e-18,0.1962281448820507,2.4879907999410165,2.3362546024659988e-39,5.517736090147769e-19,8.30846019316916e-22,2.811898412159165e-18
cubic,0.0,2,0.9607359798384625,y+_r1,X1,"1-axis:(1,)",2.4036559913491987e-21,3.604972223514302e-18,0.1962281448820507,2.4879907999410165,8.665113083697595e-39,7.073970117715329e-19,2.4036559913491987e-21,3.604972223514302e-18
cubic,0.0,2,0.9607359798384625,z+_r1,X1+Y1+Z1,"3-axis:(1, 1, 1)",1.2801926939141518e-21,3.5828866237044125e-18,0.1962281448820507,2.4879907999410165,4.5867852787891316e-39,7.030631954922309e-19,1.2801926939141518e-21,3.5828866237044125e-18
cubic,0.0,2,0.9607359798384625,xy+_r1,X1+Y1,"2-axis:(1, 1)",1.1882271586936007e-21,2.9966143378418804e-18,0.1962281448820507,2.4879907999410165,3.560658540354363e-39,5.880200724416669e-19,1.1882271586936007e-21,2.9966143378418804e-18
cubic,0.0,2,0.9607359798384625,xz+_r1,Y1+Z2,"2-axis:(1, 2)",3.287619661643898e-21,5.326645117785265e-18,0.1962281448820507,2.4879907999410165,1.7511983219830315e-38,1.045237689908035e-18,3.287619661643898e-21,5.326645117785265e-18
cubic,0.0,2,0.9607359798384625,yz+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.734153183838365e-21,3.4323029886369813e-18,0.1962281448820507,2.4879907999410165,5.952139155642756e-39,6.735144481333532e-19,1.734153183838365e-21,3.4323029886369813e-18
cubic,0.0,2,0.9607359798384625,xyz+_r1,X1+Y2+Z2,"3-axis:(1, 2, 2)",1.4356246385035365e-21,3.3459683711983206e-18,0.1962281448820507,2.4879907999410165,4.803554633345856e-39,6.565731663142633e-19,1.4356246385035365e-21,3.3459683711983206e-18
cubic,0.0,2,0.9607359798384625,base_r2,X1+Y2+Z2,"3-axis:(1, 2, 2)",1.0119475279187951e-20,7.92069920454688e-18,0.1962281448820507,2.4879907999410165,8.015331979429581e-38,1.5542641110769689e-18,1.0119475279187951e-20,7.92069920454688e-18
cubic,0.0,2,0.9607359798384625,base_avg12,Y1+Z1,"2-axis:(1, 1)",2.474759624249522e-21,4.863349467227802e-18,0.1962281448820507,2.4879907999410165,1.2035620900110787e-38,9.543260438672212e-19,2.474759624249522e-21,4.863349467227802e-18
cubic,0.0,3,0.9607359798384988,base_r1,X1+Y2+Z1,"3-axis:(1, 1, 2)",1.3094246115339124e-14,8.1045327101281e-15,0.16893890073566056,2.487990799941014,1.0612274595623373e-28,1.3691708470252451e-15,1.3094246115339124e-14,8.1045327101281e-15
cubic,0.0,3,0.9607359798384988,x+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.4914151207604048e-14,9.467167035525987e-15,0.16893890073566056,2.487990799941014,1.4119476067547912e-28,1.5993727920626426e-15,1.4914151207604048e-14,9.467167035525987e-15
