geometry,beta,family_match_frac,exact_q_match_frac,mean_family_unique,mean_q_unique,mean_winner_mode_unique
cubic,0.0,1.0,0.4,1.0,3.0,1.0
cubic,1.0,0.85,0.625,1.5,3.25,1.0
cubic,1.5,0.8,0.5,2.0,3.25,1.5
cubic,2.0,0.55,0.55,2.5,3.25,1.5
cubic,5.0,0.95,0.75,1.5,2.0,1.0
cubic,10.0,0.85,0.85,1.5,1.5,1.5
ortho_1.05_1.20,0.0,1.0,0.6,1.0,3.0,1.0
ortho_1.05_1.20,1.0,1.0,1.0,1.0,1.0,1.0
ortho_1.05_1.20,1.5,0.8,0.8,1.5,2.0,1.0
ortho_1.05_1.20,2.0,0.6,0.6,2.5,2.5,1.0
ortho_1.05_1.20,5.0,0.575,0.45,2.25,2.75,1.0
ortho_1.05_1.20,10.0,1.0,0.9,1.0,2.0,1.0
ortho_1.10_1.30,0.0,1.0,0.5,1.0,3.0,1.0
ortho_1.10_1.30,1.0,1.0,1.0,1.0,1.0,1.0
ortho_1.10_1.30,1.5,0.95,0.95,1.5,1.5,1.0
ortho_1.10_1.30,2.0,0.6,0.55,3.0,3.5,1.0
ortho_1.10_1.30,5.0,0.8,0.8,2.25,2.25,1.0
ortho_1.10_1.30,10.0,0.925,0.925,1.25,1.25,1.0
ortho_1.20_1.50,0.0,1.0,0.5,1.0,3.0,1.0
ortho_1.20_1.50,1.0,0.675,0.675,1.75,1.75,1.0
ortho_1.20_1.50,1.5,0.675,0.675,2.25,2.25,1.0
ortho_1.20_1.50,2.0,0.575,0.525,2.25,2.5,1.0
ortho_1.20_1.50,5.0,0.775,0.725,2.25,2.75,1.0
ortho_1.20_1.50,10.0,0.5,0.5,2.25,3.0,1.0
tet_1.05,0.0,1.0,0.6,1.0,3.0,1.0
tet_1.05,1.0,1.0,1.0,1.0,1.0,1.0
tet_1.05,1.5,0.6,0.3,3.0,4.0,1.0
tet_1.05,2.0,0.65,0.6000000000000001,3.0,3.25,1.25
tet_1.05,5.0,0.6,0.55,2.5,3.0,1.0
tet_1.05,10.0,0.625,0.625,2.5,2.75,1.5
tet_1.10,0.0,1.0,0.8,1.0,2.0,1.0
tet_1.10,1.0,1.0,1.0,1.0,1.0,1.0
tet_1.10,1.5,0.775,0.725,2.0,2.5,1.0
tet_1.10,2.0,0.9,0.6499999999999999,1.5,2.5,1.5
tet_1.10,5.0,0.6,0.6,2.75,3.25,1.75
tet_1.10,10.0,0.55,0.55,2.75,3.0,1.75
tet_1.20,0.0,1.0,0.5,1.0,3.0,1.0
tet_1.20,1.0,1.0,1.0,1.0,1.0,1.0
tet_1.20,1.5,0.85,0.7,1.5,2.0,1.0
tet_1.20,2.0,0.625,0.45,2.75,3.5,1.5
tet_1.20,5.0,0.55,0.55,3.0,3.5,1.5
tet_1.20,10.0,0.875,0.825,2.0,2.25,1.25
tet_1.35,0.0,1.0,0.7,1.0,3.0,1.0
tet_1.35,1.0,0.8,0.8,1.75,1.75,1.25
tet_1.35,1.5,0.7,0.7,2.0,2.0,1.25
tet_1.35,2.0,0.8,0.8,1.75,1.75,1.5
tet_1.35,5.0,0.6,0.5,2.0,2.5,1.5
tet_1.35,10.0,0.5,0.425,3.0,4.0,1.5
tet_1.50,0.0,1.0,0.6,1.0,3.0,1.0
tet_1.50,1.0,1.0,1.0,1.0,1.0,1.0
tet_1.50,1.5,0.775,0.775,1.75,1.75,1.5
tet_1.50,2.0,0.6,0.575,2.25,2.5,1.25
tet_1.50,5.0,0.6,0.6,2.0,2.0,1.0
tet_1.50,10.0,0.525,0.5,3.0,3.5,1.75
