geometry,beta,trial,criterion,dominant_q,q_family,num_deg_clusters,max_cluster_size
cubic,0.0,0,score_q,Y1,"1-axis:(1,)",6,4
cubic,0.0,0,score_iso,Y1,"1-axis:(1,)",6,4
cubic,0.0,0,consensus,Y1,"1-axis:(1,)",6,4
cubic,0.0,1,score_q,Z1,"1-axis:(1,)",6,4
cubic,0.0,1,score_iso,Z1,"1-axis:(1,)",6,4
cubic,0.0,1,consensus,Z1,"1-axis:(1,)",6,4
cubic,0.0,2,score_q,Z1,"1-axis:(1,)",6,4
cubic,0.0,2,score_iso,Z1,"1-axis:(1,)",6,4
cubic,0.0,2,consensus,Z1,"1-axis:(1,)",6,4
cubic,0.0,3,score_q,Y1,"1-axis:(1,)",6,4
cubic,0.0,3,score_iso,Y1,"1-axis:(1,)",6,4
cubic,0.0,3,consensus,Y1,"1-axis:(1,)",6,4
cubic,0.0,4,score_q,X1,"1-axis:(1,)",6,4
cubic,0.0,4,score_iso,Y1,"1-axis:(1,)",6,4
cubic,0.0,4,consensus,X1,"1-axis:(1,)",6,4
cubic,0.0,5,score_q,X1,"1-axis:(1,)",6,4
cubic,0.0,5,score_iso,X1,"1-axis:(1,)",6,4
cubic,0.0,5,consensus,X1,"1-axis:(1,)",6,4
cubic,0.0,6,score_q,X1,"1-axis:(1,)",6,4
cubic,0.0,6,score_iso,X1,"1-axis:(1,)",6,4
cubic,0.0,6,consensus,X1,"1-axis:(1,)",6,4
cubic,0.0,7,score_q,Y1,"1-axis:(1,)",6,4
cubic,0.0,7,score_iso,Y1,"1-axis:(1,)",6,4
cubic,0.0,7,consensus,Y1,"1-axis:(1,)",6,4
cubic,0.0,8,score_q,X1,"1-axis:(1,)",6,4
cubic,0.0,8,score_iso,Y1,"1-axis:(1,)",6,4
cubic,0.0,8,consensus,X1,"1-axis:(1,)",6,4
cubic,0.0,9,score_q,Z1,"1-axis:(1,)",6,4
cubic,0.0,9,score_iso,Y1,"1-axis:(1,)",6,4
cubic,0.0,9,consensus,Y1,"1-axis:(1,)",6,4
cubic,0.0,10,score_q,Y1,"1-axis:(1,)",6,4
cubic,0.0,10,score_iso,Y1,"1-axis:(1,)",6,4
cubic,0.0,10,consensus,Y1,"1-axis:(1,)",6,4
cubic,0.0,11,score_q,Y1,"1-axis:(1,)",6,4
cubic,0.0,11,score_iso,Y1,"1-axis:(1,)",6,4
cubic,0.0,11,consensus,Y1,"1-axis:(1,)",6,4
cubic,0.5,0,score_q,X1,"1-axis:(1,)",6,4
cubic,0.5,0,score_iso,X1,"1-axis:(1,)",6,4
cubic,0.5,0,consensus,X1,"1-axis:(1,)",6,4
cubic,0.5,1,score_q,Y1,"1-axis:(1,)",6,4
cubic,0.5,1,score_iso,Y1,"1-axis:(1,)",6,4
cubic,0.5,1,consensus,Y1,"1-axis:(1,)",6,4
cubic,0.5,2,score_q,Z1,"1-axis:(1,)",6,4
cubic,0.5,2,score_iso,Z1,"1-axis:(1,)",6,4
cubic,0.5,2,consensus,Z1,"1-axis:(1,)",6,4
cubic,0.5,3,score_q,X1,"1-axis:(1,)",6,4
cubic,0.5,3,score_iso,X1,"1-axis:(1,)",6,4
cubic,0.5,3,consensus,X1,"1-axis:(1,)",6,4
cubic,0.5,4,score_q,Y1,"1-axis:(1,)",6,4
cubic,0.5,4,score_iso,Z1,"1-axis:(1,)",6,4
