geometry,beta,criterion,num_deg_clusters,max_cluster_size,family_mode,family_mode_count,family_mode_frac,exact_q_mode,exact_q_mode_count,exact_q_mode_frac,n_unique_families,n_unique_exact_q
cubic,0.0,score_q,6,4,"1-axis:(1,)",12,1.0,Y1,5,0.4166666666666667,1,3
cubic,0.0,score_iso,6,4,"1-axis:(1,)",12,1.0,Y1,8,0.6666666666666666,1,3
cubic,0.0,consensus,6,4,"1-axis:(1,)",12,1.0,Y1,6,0.5,1,3
cubic,0.5,score_q,6,4,"1-axis:(1,)",12,1.0,Y1,5,0.4166666666666667,1,3
cubic,0.5,score_iso,6,4,"1-axis:(1,)",12,1.0,Z1,6,0.5,1,3
cubic,0.5,consensus,6,4,"1-axis:(1,)",12,1.0,Y1,5,0.4166666666666667,1,3
cubic,1.0,score_q,6,3,"1-axis:(1,)",6,0.5,Y1+Z1,3,0.25,2,6
cubic,1.0,score_iso,6,3,"1-axis:(1,)",9,0.75,X1,4,0.3333333333333333,3,5
cubic,1.0,consensus,6,3,"1-axis:(1,)",9,0.75,X1,4,0.3333333333333333,2,6
cubic,1.5,score_q,6,4,"3-axis:(1, 1, 1)",11,0.9166666666666666,X1+Y1+Z1,11,0.9166666666666666,2,2
cubic,1.5,score_iso,6,4,"1-axis:(1,)",4,0.3333333333333333,Y1+Z1,3,0.25,5,7
cubic,1.5,consensus,6,4,"1-axis:(1,)",4,0.3333333333333333,X1+Y1+Z1,10,0.8333333333333334,3,3
cubic,2.0,score_q,7,3,"3-axis:(1, 1, 1)",9,0.75,X1+Y1+Z1,9,0.75,3,4
cubic,2.0,score_iso,7,3,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
cubic,2.0,consensus,7,3,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
cubic,5.0,score_q,6,4,"3-axis:(1, 1, 2)",7,0.5833333333333334,X1+Y2+Z1,4,0.3333333333333333,3,4
cubic,5.0,score_iso,6,4,"3-axis:(1, 2, 2)",12,1.0,X1+Y2+Z2,12,1.0,1,1
cubic,5.0,consensus,6,4,"3-axis:(1, 1, 2)",7,0.5833333333333334,X1+Y2+Z1,4,0.3333333333333333,3,4
cubic,10.0,score_q,7,3,"3-axis:(1, 1, 1)",7,0.5833333333333334,X1+Y1+Z1,7,0.5833333333333334,2,2
cubic,10.0,score_iso,7,3,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
cubic,10.0,consensus,7,3,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
tet_1.05,0.0,score_q,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.05,0.0,score_iso,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.05,0.0,consensus,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.05,0.5,score_q,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.05,0.5,score_iso,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.05,0.5,consensus,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.05,1.0,score_q,7,2,"1-axis:(1,)",9,0.75,Z1,7,0.5833333333333334,2,4
tet_1.05,1.0,score_iso,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.05,1.0,consensus,7,2,"1-axis:(1,)",12,1.0,Z1,7,0.5833333333333334,1,4
tet_1.05,1.5,score_q,7,2,"2-axis:(1, 1)",8,0.6666666666666666,X1+Y1,8,0.6666666666666666,3,3
tet_1.05,1.5,score_iso,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.05,1.5,consensus,7,2,"1-axis:(1,)",12,1.0,X1+Y1,8,0.6666666666666666,1,3
