geometry,beta,null_type,draw,real_consensus_family,real_consensus_q,surrogate_consensus_family,surrogate_consensus_q,family_match_real,q_match_real,surrogate_consensus_strength,surrogate_q_consensus_strength,real_mean_winner_q_contrast,real_mean_winner_xyz,surrogate_mean_winner_q_contrast,surrogate_mean_winner_xyz
cubic,0.0,cell_shuffle,0,"1-axis:(1,)",Y1,"2-axis:(1, 1)",X1+Y1,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.119860302573777,0.00011271220073669463
cubic,0.0,cell_shuffle,1,"1-axis:(1,)",Y1,"3-axis:(1, 2, 2)",X1+Y2+Z2,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.19293267227069197,0.00011271220073669466
cubic,0.0,cell_shuffle,2,"1-axis:(1,)",Y1,"2-axis:(1, 1)",X1+Z1,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.16687886855081535,0.00011271220073669463
cubic,0.0,cell_shuffle,3,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15768263267171378,0.00011271220073669466
cubic,0.0,cell_shuffle,4,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.12797728421441015,0.00011271220073669466
cubic,0.0,cell_shuffle,5,"1-axis:(1,)",Y1,"2-axis:(1, 1)",X1+Y1,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.08808595356918515,0.00011271220073669462
cubic,0.0,cell_shuffle,6,"1-axis:(1,)",Y1,"2-axis:(1, 1)",X1+Y1,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.10844297008783504,0.00011271220073669466
cubic,0.0,cell_shuffle,7,"1-axis:(1,)",Y1,"2-axis:(1, 2)",X1+Y2,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.14588125217502268,0.00011271220073669466
cubic,0.0,cell_shuffle,8,"1-axis:(1,)",Y1,"2-axis:(1, 2)",X1+Z2,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.1376387512148881,0.00011271220073669467
cubic,0.0,cell_shuffle,9,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.10088593706031392,0.00011271220073669466
cubic,0.0,cell_shuffle,10,"1-axis:(1,)",Y1,"2-axis:(1, 1)",X1+Z1,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.09162360805238036,0.00011271220073669466
cubic,0.0,cell_shuffle,11,"1-axis:(1,)",Y1,"2-axis:(1, 2)",Y1+Z2,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.22796055330500653,0.00011271220073669466
cubic,0.0,cell_shuffle,12,"1-axis:(1,)",Y1,"2-axis:(1, 1)",X1+Z1,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.1568654859126228,0.00011271220073669463
cubic,0.0,cell_shuffle,13,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.13054025553390416,0.00011271220073669467
cubic,0.0,cell_shuffle,14,"1-axis:(1,)",Y1,"2-axis:(1, 1)",Y1+Z1,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15003800389157324,0.00011271220073669466
cubic,0.0,cell_shuffle,15,"1-axis:(1,)",Y1,"2-axis:(1, 1)",X1+Y1,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.10079249096132187,0.00011271220073669466
cubic,0.0,cell_shuffle,16,"1-axis:(1,)",Y1,"2-axis:(1, 1)",X1+Z1,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.11229221150507422,0.00011271220073669462
cubic,0.0,cell_shuffle,17,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.10161809010385574,0.00011271220073669466
cubic,0.0,cell_shuffle,18,"1-axis:(1,)",Y1,"2-axis:(1, 2)",X1+Z2,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.09675758673655219,0.00011271220073669466
cubic,0.0,cell_shuffle,19,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.13161489553069033,0.00011271220073669463
cubic,0.0,cell_shuffle,20,"1-axis:(1,)",Y1,"2-axis:(1, 2)",X1+Y2,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.09318921361999262,0.00011271220073669466
cubic,0.0,cell_shuffle,21,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.09164537902724468,0.00011271220073669463
cubic,0.0,cell_shuffle,22,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.10355484655846584,0.00011271220073669463
cubic,0.0,cell_shuffle,23,"1-axis:(1,)",Y1,"2-axis:(1, 2)",X1+Z2,0.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.08164703424336077,0.00011271220073669466
cubic,0.0,shell_shuffle,0,"1-axis:(1,)",Y1,"1-axis:(1,)",X1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15403025546898627,0.00011271220073669466
cubic,0.0,shell_shuffle,1,"1-axis:(1,)",Y1,"1-axis:(1,)",X1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.1736595966905908,0.00011271220073669463
cubic,0.0,shell_shuffle,2,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.17856472783727936,0.00011271220073669466
cubic,0.0,shell_shuffle,3,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.21925930732100546,0.00011271220073669466
cubic,0.0,shell_shuffle,4,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.17789897283429565,0.00011271220073669466
cubic,0.0,shell_shuffle,5,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.21885560648610197,0.00011271220073669463
cubic,0.0,shell_shuffle,6,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.2039670831295462,0.00011271220073669463
cubic,0.0,shell_shuffle,7,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15082871446671428,0.00011271220073669463
cubic,0.0,shell_shuffle,8,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.16070387977866432,0.00011271220073669466
cubic,0.0,shell_shuffle,9,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.1737052050673597,0.00011271220073669466
cubic,0.0,shell_shuffle,10,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.2034741129608738,0.00011271220073669466
cubic,0.0,shell_shuffle,11,"1-axis:(1,)",Y1,"1-axis:(1,)",X1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.18465205217064923,0.00011271220073669463
cubic,0.0,shell_shuffle,12,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15477862907821852,0.00011271220073669466
cubic,0.0,shell_shuffle,13,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.16184956961614846,0.00011271220073669463
cubic,0.0,shell_shuffle,14,"1-axis:(1,)",Y1,"1-axis:(1,)",X1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.17788909793822383,0.00011271220073669463
cubic,0.0,shell_shuffle,15,"1-axis:(1,)",Y1,"1-axis:(1,)",Z1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15598816576472527,0.00011271220073669466
cubic,0.0,shell_shuffle,16,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.1778890979382298,0.00011271220073669463
cubic,0.0,shell_shuffle,17,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.19444416052853705,0.00011271220073669462
cubic,0.0,shell_shuffle,18,"1-axis:(1,)",Y1,"1-axis:(1,)",X1,1.0,0.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.16127423175481284,0.00011271220073669463
cubic,0.0,shell_shuffle,19,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.2017201560578821,0.00011271220073669466
