geometry,beta,consensus_family,consensus_family_count,consensus_q,consensus_q_count,mean_winner_q_contrast,mean_winner_xyz
cubic,0.0,"1-axis:(1,)",4,Y1,4,0.15139921439940957,0.00011271220073669466
cubic,1.0,"3-axis:(1, 2, 2)",3,X1+Y2+Z2,3,0.15573592931177704,5.243303667372475e-05
cubic,1.5,"3-axis:(1, 1, 1)",3,X1+Y1+Z1,3,0.13916980422311542,4.573846056279529e-05
cubic,2.0,"3-axis:(1, 1, 1)",3,X1+Y1+Z1,3,0.15335204797928384,9.685808471242504e-05
cubic,5.0,"3-axis:(1, 1, 1)",2,X1+Y1+Z1,2,0.18368616199687876,0.0002160878907976898
cubic,10.0,"3-axis:(1, 2, 2)",2,X1+Y2+Z2,2,0.32619820819882395,0.00025698836837746816
tet_1.05,0.0,"1-axis:(1,)",4,Y1,4,0.15139921439941037,0.00011271220073669394
tet_1.05,1.0,"1-axis:(1,)",4,Z1,4,0.09981154961068565,5.0977858653285e-05
tet_1.05,1.5,"3-axis:(1, 1, 2)",4,X1+Y1+Z2,3,0.1367059150167544,4.3307110953164256e-05
tet_1.05,2.0,"3-axis:(1, 1, 2)",3,X1+Y1+Z2,3,0.09091103924427847,7.675021699423402e-05
tet_1.05,5.0,"3-axis:(1, 1, 2)",4,X1+Y1+Z2,2,0.1737303186344385,0.00013448253732522983
tet_1.05,10.0,"3-axis:(1, 1, 2)",3,X1+Y1+Z2,2,0.20277260462497257,0.0002773384726291186
tet_1.10,0.0,"1-axis:(1,)",4,Y1,4,0.15139921439940615,0.00011271220073669487
tet_1.10,1.0,"1-axis:(1,)",4,Z1,4,0.1017397029986459,5.070368641002046e-05
tet_1.10,1.5,"3-axis:(1, 1, 2)",4,X1+Y1+Z2,3,0.13877691940533798,4.460086685139059e-05
tet_1.10,2.0,"3-axis:(1, 1, 1)",2,X1+Y1+Z1,2,0.08881164229810036,8.018364169253152e-05
tet_1.10,5.0,"3-axis:(1, 1, 1)",2,X1+Y1+Z1,2,0.15578243202511044,0.0001398473526429359
tet_1.10,10.0,"3-axis:(1, 1, 1)",2,X1+Y1+Z1,2,0.20379616429804281,0.0002453533859513593
ortho_1.05_1.20,0.0,"1-axis:(1,)",4,Y1,4,0.15139921439941337,0.00011271220073669571
ortho_1.05_1.20,1.0,"1-axis:(1,)",4,Z1,4,0.10157908806184011,5.136278523814878e-05
ortho_1.05_1.20,1.5,"1-axis:(1,)",2,X1+Y2+Z2,2,0.08641892351263182,5.7891016461428024e-05
ortho_1.05_1.20,2.0,"3-axis:(1, 1, 1)",2,X1+Y1+Z1,2,0.08753544173272093,7.348787323174093e-05
ortho_1.05_1.20,5.0,"3-axis:(1, 1, 2)",3,X1+Y2+Z1,2,0.1134711112756898,0.00013484778137489085
ortho_1.05_1.20,10.0,"3-axis:(1, 1, 2)",3,X1+Y1+Z2,3,0.12084488445798185,0.0004074601500035752
tet_1.20,0.0,"1-axis:(1,)",4,Y1,4,0.15139921439940354,0.00011271220073669344
tet_1.20,1.0,"1-axis:(1,)",4,Z1,4,0.10538648307036173,5.1930171848214125e-05
tet_1.20,1.5,"1-axis:(1,)",2,X1+Y1+Z2,2,0.09130047577455855,6.470734551171051e-05
