k,features,loocv_r2,mae
1,EF_inc,0.07149393418967054,0.14197218177338233
2,EF_inc|L_align,0.07145634934150846,0.13940004013990157
1,CE_inc,0.04425614029023184,0.14441854311139063
2,CF_inc|L_align,0.042816163727918966,0.13935380888907598
2,C_opp|EF_inc,0.04136295549413638,0.1399018086306024
2,CE_inc|L_align,0.040078883618185346,0.1428954430498154
1,CF_inc,0.0398614627886128,0.14005169014816998
3,CE_inc|EF_inc|L_align,0.031210910793048274,0.14293565182917375
2,E_opp|EF_inc,0.029024082413419583,0.1413612438054214
2,CE_inc|EF_inc,0.028672190496051853,0.14571617662974784
3,C_opp|EF_inc|L_align,0.026399448671332815,0.1406735074861359
2,C_opp|CE_inc,0.021841896986966036,0.14271198397376403
2,C_opp|CF_inc,0.02029720232187504,0.13645427631183513
3,E_opp|EF_inc|L_align,0.019062627440084357,0.14101926571993384
2,F_opp|EF_inc,0.01744183617712891,0.14236417182412703
2,CE_inc|CF_inc,0.013592219959321805,0.14357465307805317
3,CE_inc|CF_inc|L_align,0.011129178605197354,0.14289246674428588
3,EF_inc|CF_inc|L_align,0.011050219063600708,0.14288227580455254
2,E_opp|CE_inc,0.008670873120675715,0.14461839951510969
3,F_opp|EF_inc|L_align,0.008152914507200903,0.14138361907684494
2,EF_inc|CF_inc,0.007149608132883678,0.1445961695575025
2,E_opp|CF_inc,0.005468364666522674,0.1382429606233244
3,C_opp|CE_inc|L_align,0.0010671589221633582,0.14374865339417045
3,C_opp|CF_inc|L_align,0.0009845622162882872,0.13855379433224915
4,CE_inc|EF_inc|CF_inc|L_align,-0.001963723588930044,0.14259914258374476
3,C_opp|CE_inc|CF_inc,-0.0023252991598770034,0.1396129441776852
3,C_opp|E_opp|EF_inc,-0.002361625978720472,0.1428302729544764
3,C_opp|CE_inc|EF_inc,-0.004784834454644171,0.144191930540968
3,E_opp|CE_inc|L_align,-0.006112177721365741,0.14426024725078784
3,CE_inc|EF_inc|CF_inc,-0.007589804873023409,0.1444736751615154
3,E_opp|CF_inc|L_align,-0.007901123602194637,0.13922903726605396
2,F_opp|CE_inc,-0.011400801330738952,0.14569631674852054
3,C_opp|EF_inc|CF_inc,-0.016978748955800205,0.13993012251470036
3,C_opp|E_opp|CE_inc,-0.01702588113943948,0.14530437312354724
3,E_opp|CE_inc|CF_inc,-0.01744434691694763,0.14152427181645452
3,E_opp|CE_inc|EF_inc,-0.017526006874269973,0.145678876552754
2,F_opp|CF_inc,-0.017550450879973534,0.14011663371247376
3,C_opp|E_opp|CF_inc,-0.018325688804745832,0.13921637074633295
4,C_opp|CE_inc|EF_inc|L_align,-0.02066685561153725,0.14480993703137518
4,C_opp|E_opp|EF_inc|L_align,-0.024317213154450457,0.14416270747157364
4,C_opp|CE_inc|CF_inc|L_align,-0.024794808450574912,0.14193671795672091
3,F_opp|CE_inc|L_align,-0.025207045756998836,0.14505089837906546
3,F_opp|CF_inc|L_align,-0.025984837772496272,0.14068016549847803
4,E_opp|CE_inc|EF_inc|L_align,-0.027068867405338537,0.14500012747662605
3,C_opp|F_opp|EF_inc,-0.028661685141134763,0.144327630105308
3,F_opp|CE_inc|EF_inc,-0.030101329326269965,0.1466580160117609
3,E_opp|EF_inc|CF_inc,-0.03221385353652684,0.1415838583042858
4,E_opp|CE_inc|CF_inc|L_align,-0.03425729327535265,0.14261319199238628
4,C_opp|EF_inc|CF_inc|L_align,-0.03687712198145521,0.14225097921227872
4,F_opp|CE_inc|EF_inc|L_align,-0.039040853648991014,0.14549841484390635
