geometry,beta,criterion,metric,real,fft_phase_mean,fft_phase_sd,z_vs_fft_phase,exceed_vs_fft_phase
cubic,0.0,score_q,n_valid_bands,2.0,5.5,0.7071067811865476,-4.949747468298832,0.0
cubic,0.0,score_q,same_sector_mean,0.964644996201844,0.8457897545471356,0.021648861032900788,5.490138324994945,1.0
cubic,0.0,score_q,same_shell_mean,0.9741392724233455,0.9775757615129566,0.00684156594142515,-0.5022956905671343,0.25
cubic,0.0,score_q,deficit_fill_mean,-0.0029993736198211073,-0.001337848053722699,0.0029040777604479972,-0.572135356757788,0.375
cubic,0.0,score_q,completion_gain_mean,4.1826140233756914e-06,0.003427021330513791,0.0026570611735122675,-1.2882047087676536,0.125
cubic,0.0,score_q,same_sector_outer,0.99304561695049,0.7723464802215243,0.12425154846182597,1.7762284612090387,1.0
cubic,0.0,score_q,same_shell_outer,0.9948610927448298,0.9728542102683204,0.01362855373088687,1.6147628654843733,0.875
cubic,0.0,score_q,deficit_fill_outer,-0.021366183720769587,-0.000282287479392262,0.012014656432935547,-1.7548480355897316,0.0
cubic,0.0,score_q,completion_gain_outer,0.002863206433857339,0.0010416310695331081,0.004166647731555788,0.43718007406565446,0.75
cubic,0.0,score_q,outer_radius,9.420721840708387,9.742861214452846,0.2547064786475239,-1.2647474671776524,0.25
cubic,0.0,score_q,outer_gap,1.1440036658708426,3.4644816207935145,0.21129321043092425,-10.98226464626651,0.0
cubic,0.0,score_iso,n_valid_bands,2.0,5.75,0.82915619758885,-4.522670168661,0.0
cubic,0.0,score_iso,same_sector_mean,0.964644996201844,0.8292257749209817,0.05522684425035352,2.452054306498662,1.0
cubic,0.0,score_iso,same_shell_mean,0.9741392724233455,0.9822672079829562,0.005017650607655119,-1.619868777947693,0.125
cubic,0.0,score_iso,deficit_fill_mean,-0.0029993736198211073,0.002113334430895138,0.007330666541360536,-0.6974410882246882,0.375
cubic,0.0,score_iso,completion_gain_mean,4.1826140233756914e-06,0.005143931401882641,0.0013416640965449457,-3.830875997400746,0.0
cubic,0.0,score_iso,same_sector_outer,0.99304561695049,0.811446805867464,0.1787889733711389,1.015715945216815,1.0
cubic,0.0,score_iso,same_shell_outer,0.9948610927448298,0.9750985836197916,0.014424475067914064,1.370067820882302,1.0
cubic,0.0,score_iso,deficit_fill_outer,-0.021366183720769587,0.00014079354760743526,0.009220088277408663,-2.332621621285497,0.0
cubic,0.0,score_iso,completion_gain_outer,0.002863206433857339,0.002487575583328394,0.0031704631114848007,0.11847822769164795,0.5
cubic,0.0,score_iso,outer_radius,9.420721840708387,9.712195021708627,0.3742139530691708,-0.7788944762986558,0.25
cubic,0.0,score_iso,outer_gap,1.1440036658708426,3.4507360512733594,0.3116348704886511,-7.402035535298416,0.0
cubic,0.0,q_only,n_valid_bands,2.0,6.0,0.5,-7.999999999984,0.0
cubic,0.0,q_only,same_sector_mean,0.964644996201844,0.821842042135966,0.02686329892786506,5.315912779142469,1.0
cubic,0.0,q_only,same_shell_mean,0.9741392724233455,0.9806228302404536,0.00463603915515786,-1.3985123073208372,0.125
cubic,0.0,q_only,deficit_fill_mean,-0.0029993736198211073,0.0001289623367456543,0.0027058569188866516,-1.1561350245739554,0.125
cubic,0.0,q_only,completion_gain_mean,4.1826140233756914e-06,0.004650236951160479,0.0012796669391211182,-3.6306746634380995,0.0
cubic,0.0,q_only,same_sector_outer,0.99304561695049,0.7520102897329343,0.17568585511547127,1.3719677492406026,1.0
cubic,0.0,q_only,same_shell_outer,0.9948610927448298,0.9573719292516502,0.01457536387868896,2.5720910848353844,1.0
cubic,0.0,q_only,deficit_fill_outer,-0.021366183720769587,0.010819780502015113,0.013125944767341712,-2.4520874337680887,0.0
cubic,0.0,q_only,completion_gain_outer,0.002863206433857339,0.004499752062623827,0.0031084534852919114,-0.5264822639243449,0.25
cubic,0.0,q_only,outer_radius,9.420721840708387,9.604409002614121,0.2626423150588164,-0.6993814453086115,0.25
cubic,0.0,q_only,outer_gap,1.1440036658708426,3.738697059739328,0.32719606348831176,-7.930087441144426,0.0
cubic,0.0,xyz_only,n_valid_bands,2.0,6.125,0.5994789404140899,-6.88097566387199,0.0
cubic,0.0,xyz_only,same_sector_mean,0.964644996201844,0.8172766683023253,0.04097090375694053,3.5969020544477837,1.0
cubic,0.0,xyz_only,same_shell_mean,0.9741392724233455,0.9792546922144273,0.0063732740086069085,-0.8026360993377837,0.375
cubic,0.0,xyz_only,deficit_fill_mean,-0.0029993736198211073,0.0034375328056208444,0.004759300631021507,-1.3524899818543052,0.125
