geometry,beta,criterion,kind,valid,target,bw,n_band,inner_count,outer_count,inner_r,outer_r,gap,same_sector,same_shell,deficit_fill,completion_gain,carrier_vs_space_sector,bw_selected
cubic,0.0,score_q,real,True,0.75,0.005,72.0,24.0,48.0,10.136567466356647,10.897247358851684,0.7606798924950375,0.9956119431428875,0.9952412279141402,-0.04391338108607501,0.0011929868224164388,0.011989136463853023,0.005
cubic,0.0,score_q,fft_phase_0,True,0.75,0.02,18.0,10.0,8.0,6.246682432524079,9.705954030350625,3.4592715978265467,0.5068651317385907,0.998897462707273,-0.032725549629495955,0.0004805886976901658,-0.22200194430240228,0.02
cubic,0.0,score_q,fft_phase_1,False,,,,,,,,,,,,,,
cubic,0.0,score_q,fft_phase_2,True,0.75,0.02,19.0,10.0,9.0,5.991354861403101,9.444291437508282,3.4529365761051807,0.41444957668322924,0.9417656341990677,0.012130048518410066,0.0011455091165255568,-0.2739177166173994,0.02
cubic,0.0,score_q,fft_phase_3,True,0.75,0.02,22.0,11.0,11.0,6.952743534178084,10.256968308876198,3.304224774698114,0.6025352420196161,0.9926129208843065,0.0004908285801597037,0.0030136572842136933,-0.14415192469417526,0.02
cubic,0.0,score_q,fft_phase_4,False,,,,,,,,,,,,,,
cubic,0.0,score_q,fft_phase_5,False,,,,,,,,,,,,,,
cubic,0.0,score_q,fft_phase_6,False,,,,,,,,,,,,,,
cubic,0.0,score_q,fft_phase_7,True,0.75,0.03,20.0,11.0,9.0,7.088309276272611,10.168151713165608,3.0798424368929975,0.6131527687233416,0.9705331413424803,-0.04717734971014759,0.001960647538227955,-0.018708110447165804,0.03
cubic,0.0,score_q,fft_phase_8,False,,,,,,,,,,,,,,
cubic,0.0,score_q,fft_phase_9,True,0.75,0.02,19.0,8.0,11.0,5.950709913223275,9.126892405704364,3.1761824924810895,0.583191946517216,0.9699573544779376,-0.009051387237994743,-9.28271587238177e-05,-0.07973563002702544,0.02
cubic,0.0,score_q,fft_phase_10,True,0.75,0.02,22.0,9.0,13.0,4.923984368898641,9.374709212659663,4.450724843761022,0.38468189179938705,0.973502008533165,-0.006239962766411127,0.00041393574341372537,-0.2659966772559611,0.02
cubic,0.0,score_q,fft_phase_11,True,0.75,0.02,32.0,14.0,18.0,5.0916348013961255,9.16925754010439,4.077622738708264,0.5432703977950605,0.9959638108457926,0.0008796091422023158,0.015922405770349393,-0.3118877709123702,0.02
cubic,0.0,score_iso,real,True,0.75,0.005,72.0,24.0,48.0,10.136567466356647,10.897247358851684,0.7606798924950375,0.9956119431428875,0.9952412279141402,-0.04391338108607501,0.0011929868224164388,0.011989136463853023,0.005
cubic,0.0,score_iso,fft_phase_0,False,,,,,,,,,,,,,,
cubic,0.0,score_iso,fft_phase_1,False,,,,,,,,,,,,,,
cubic,0.0,score_iso,fft_phase_2,True,0.75,0.03,17.0,8.0,9.0,6.391553929887103,9.565127653804423,3.173573723917319,0.41610297654004086,0.9785094479116336,0.029831856840685518,0.0035470105525670426,-0.38297630019532086,0.03
cubic,0.0,score_iso,fft_phase_3,True,0.75,0.03,16.0,8.0,8.0,6.666824527105292,9.968108757694154,3.3012842305888617,0.35836430140631637,0.8804608650204601,-0.03138754471576079,0.001295046400072724,-0.26900517071000973,0.03
cubic,0.0,score_iso,fft_phase_4,False,,,,,,,,,,,,,,
cubic,0.0,score_iso,fft_phase_5,False,,,,,,,,,,,,,,
cubic,0.0,score_iso,fft_phase_6,True,0.75,0.03,27.0,11.0,16.0,7.2644433409989775,10.048890247413421,2.784446906414444,0.6898777750305598,0.9760496806605311,-0.055228377310358505,0.0005502065105939485,0.012858191843017064,0.03
cubic,0.0,score_iso,fft_phase_7,True,0.75,0.03,17.0,8.0,9.0,4.914404109492866,8.02531908564598,3.110914976153115,0.7315249664765465,0.9961299835701097,-0.0638436486590743,0.00011103253584133317,0.05658917823327314,0.03
cubic,0.0,score_iso,fft_phase_8,True,0.75,0.03,31.0,18.0,13.0,5.5392528236854925,9.342129028243132,3.8028762045576396,0.541586131655242,0.96009562167259,-0.0064721090667728895,0.0030716549321225628,-0.2302403382113788,0.03
cubic,0.0,score_iso,fft_phase_9,False,,,,,,,,,,,,,,
cubic,0.0,score_iso,fft_phase_10,False,,,,,,,,,,,,,,
cubic,0.0,score_iso,fft_phase_11,False,,,,,,,,,,,,,,
cubic,0.0,q_only,real,True,0.75,0.005,72.0,24.0,48.0,10.136567466356647,10.897247358851684,0.7606798924950375,0.9956119431428875,0.9952412279141402,-0.04391338108607501,0.0011929868224164388,0.011989136463853023,0.005
cubic,0.0,q_only,fft_phase_0,True,0.75,0.03,28.0,16.0,12.0,7.143170662128295,10.622072516566844,3.478901854438549,0.7101246864913531,0.9733185174248654,-0.013990107153721357,0.00037253489277682544,-0.09226019514083428,0.03
cubic,0.0,q_only,fft_phase_1,False,,,,,,,,,,,,,,
cubic,0.0,q_only,fft_phase_2,True,0.75,0.03,28.0,8.0,20.0,3.6964076258080723,8.099296467687596,4.402888841879523,0.3112053675960786,0.993946596455416,0.020589021281619515,0.006477637510996219,-0.5043714587530541,0.03
cubic,0.0,q_only,fft_phase_3,False,,,,,,,,,,,,,,
cubic,0.0,q_only,fft_phase_4,True,0.75,0.03,26.0,11.0,15.0,5.413774195140456,8.473976770914232,3.0602025757737765,0.3773303637575748,0.9703056619266008,0.032488099057276724,0.013049569749290703,-0.41150227411873264,0.03
cubic,0.0,q_only,fft_phase_5,True,0.75,0.02,19.0,9.0,10.0,5.20862151983922,9.378915399414987,4.170293879575768,0.5254559963275832,0.888990184510264,0.022964876803902606,0.0113230067264701,-0.3410785960884247,0.02
cubic,0.0,q_only,fft_phase_6,False,,,,,,,,,,,,,,
cubic,0.0,q_only,fft_phase_7,True,0.75,0.02,26.0,10.0,16.0,5.320686674114778,9.292232298447113,3.971545624332335,0.6314688341537829,0.9752316931775846,-0.009242315989446834,0.002561134272504217,-0.15011272605024406,0.02
cubic,0.0,q_only,fft_phase_8,False,,,,,,,,,,,,,,
cubic,0.0,q_only,fft_phase_9,True,0.75,0.03,37.0,10.0,27.0,4.841664690490194,8.537089176347255,3.6954244858570613,0.7576378146205677,0.995054358325362,-0.016390996797820367,0.0017641635313682463,-0.09539436068837714,0.03
cubic,0.0,q_only,fft_phase_10,True,0.75,0.03,24.0,12.0,12.0,7.196933119812951,10.177006425219739,2.980073305406788,0.47907641808325013,0.9376863760014539,0.028961881417243023,0.0014585383140731656,-0.27529034607618913,0.03
cubic,0.0,q_only,fft_phase_11,False,,,,,,,,,,,,,,
cubic,0.0,xyz_only,real,True,0.75,0.005,72.0,24.0,48.0,10.136567466356647,10.897247358851684,0.7606798924950375,0.9956119431428875,0.9952412279141402,-0.04391338108607501,0.0011929868224164388,0.011989136463853023,0.005
cubic,0.0,xyz_only,fft_phase_0,True,0.75,0.03,22.0,10.0,12.0,4.968235919591287,8.548557812637545,3.580321893046259,0.378636192658023,0.9816048798647357,0.05270924043867092,0.012323222456490757,-0.4068714094196399,0.03
cubic,0.0,xyz_only,fft_phase_1,False,,,,,,,,,,,,,,
cubic,0.0,xyz_only,fft_phase_2,True,0.75,0.03,25.0,9.0,16.0,4.16909448477167,9.253524981041076,5.084430496269406,0.2715288513829173,0.9736505233550592,0.017758329949763868,0.0015870039156849593,-0.4005840998875098,0.03
cubic,0.0,xyz_only,fft_phase_3,False,,,,,,,,,,,,,,
cubic,0.0,xyz_only,fft_phase_4,False,,,,,,,,,,,,,,
cubic,0.0,xyz_only,fft_phase_5,True,0.75,0.03,20.0,10.0,10.0,7.7902654156282365,10.384848728828526,2.59458331320029,0.48229388305429316,0.8857361481311539,0.02000130086721854,0.003157785620672613,-0.18783131271132542,0.03
cubic,0.0,xyz_only,fft_phase_6,True,0.75,0.02,17.0,8.0,9.0,4.195338849521564,9.391166497558903,5.195827648037339,0.5753885013147074,0.8407279629200759,-0.00874196511782073,0.004517539966695991,-0.22819275837666164,0.02
cubic,0.0,xyz_only,fft_phase_7,False,,,,,,,,,,,,,,
cubic,0.0,xyz_only,fft_phase_8,False,,,,,,,,,,,,,,
cubic,0.0,xyz_only,fft_phase_9,True,0.75,0.03,32.0,22.0,10.0,6.497503885994086,10.600884857891675,4.103380971897589,0.4817578442852299,0.8657090202053972,-0.0004553357078063078,0.005551008811916509,-0.2268569827557158,0.03
cubic,0.0,xyz_only,fft_phase_10,True,0.75,0.02,18.0,9.0,9.0,6.927910553751301,9.90075186199243,2.9728413082411302,0.37919164887299456,0.9383704458417468,-0.009291046764751894,-0.0007275729222549993,-0.2682848576746338,0.02
cubic,0.0,xyz_only,fft_phase_11,True,0.75,0.02,25.0,13.0,12.0,6.667558759754811,9.153124055007295,2.485565295252484,0.77639183438988,0.9901409864972693,-0.014869928743242826,0.003272414648285159,-0.09856837508718819,0.02
cubic,1.0,score_q,real,False,,,,,,,,,,,,,,
cubic,1.0,score_iso,real,True,0.75,0.005,48.0,24.0,24.0,7.262919523166975,11.947803145348521,4.684883622181546,0.9998456820302272,0.9998285688402525,-0.05214991565551809,0.00020039954432837792,0.04860663341233795,0.005
cubic,1.0,score_iso,fft_phase_0,True,0.75,0.02,31.0,12.0,19.0,6.092627955468157,8.130795089905048,2.0381671344368906,0.43095368987011096,0.999423733491525,0.016384994748859336,0.0032317434227681816,-0.33709594796102293,0.02
cubic,1.0,score_iso,fft_phase_1,True,0.75,0.02,33.0,13.0,20.0,4.756620967036573,8.756907106292982,4.000286139256408,0.3460833210001693,0.9984574783915323,0.026570937520769087,0.004499024010864314,-0.45454468142428345,0.02
cubic,1.0,score_iso,fft_phase_2,True,0.75,0.01,22.0,11.0,11.0,5.620772706105055,9.08495850275102,3.464185796645965,0.5777548189014318,0.9484137103684358,-0.028466400861893313,0.00040162903200818096,-0.10922496943897742,0.01
cubic,1.0,score_iso,fft_phase_3,True,0.75,0.02,22.0,11.0,11.0,7.942230905942761,10.289426819377502,2.3471959134347404,0.4811651637873365,0.9930695583550079,0.022524944795220714,0.0025347769837439087,-0.2392134570655678,0.02
cubic,1.0,score_iso,fft_phase_4,False,,,,,,,,,,,,,,
cubic,1.0,score_iso,fft_phase_5,True,0.75,0.02,22.0,11.0,11.0,7.524616712736924,10.4420614530604,2.917444740323477,0.4912633123573263,0.9970058381729605,-0.03643146971982961,0.0007784048774982896,-0.22352642811559026,0.02
cubic,1.0,score_iso,fft_phase_6,True,0.75,0.02,24.0,12.0,12.0,6.021016430449811,9.559024103399116,3.5380076729493046,0.41787800667418556,0.9861061829360459,0.01502465846980025,0.0009003853162560613,-0.2850736998586873,0.02
cubic,1.0,score_iso,fft_phase_7,True,0.75,0.02,25.0,14.0,11.0,7.039789128133662,10.326118552081395,3.286329423947733,0.5132852501717682,0.9697975815646731,0.001305128577216652,0.002565231996889151,-0.2099249549656873,0.02
cubic,1.0,score_iso,fft_phase_8,False,,,,,,,,,,,,,,
cubic,1.0,score_iso,fft_phase_9,False,,,,,,,,,,,,,,
cubic,1.0,score_iso,fft_phase_10,True,0.75,0.03,23.0,13.0,10.0,5.177087401131515,8.110588456133673,2.933501055002158,0.3059553481220264,0.9809632344053392,-0.011774065790573138,0.0006623990301092297,-0.39924890202750785,0.03
cubic,1.0,score_iso,fft_phase_11,True,0.75,0.03,27.0,10.0,17.0,4.914789148340206,10.026901645986914,5.1121124976467085,0.36812780905298503,0.8654364124922642,-0.007522870636300093,0.00105791732565861,-0.4187342989697941,0.03
cubic,1.0,q_only,real,True,0.75,0.01,16.0,8.0,8.0,6.224949798994366,8.04673846971554,1.8217886707211743,0.8918106210791427,0.9642077688176222,-0.07787669285816551,0.00029588973177061765,0.3572534834236165,0.01
cubic,1.0,q_only,fft_phase_0,True,0.75,0.005,25.0,13.0,12.0,6.720640585485143,9.42934163972436,2.7087010542392163,0.8294946111239092,0.9883404779120046,-0.06269517226601365,0.001358496763388909,0.13760550297924867,0.005
cubic,1.0,q_only,fft_phase_1,True,0.75,0.005,21.0,9.0,12.0,5.063871944877194,7.950807006154285,2.886935061277091,0.5646381760884301,0.9954678825137101,-0.007872165829567783,0.0005842634282082889,-0.1585086422173767,0.005
cubic,1.0,q_only,fft_phase_2,True,0.75,0.01,33.0,16.0,17.0,5.179587836077787,9.09193099385952,3.9123431577817334,0.3630238810006211,0.9902555371952364,0.018232873794011943,0.0005907742958844131,-0.40030033248922636,0.01
cubic,1.0,q_only,fft_phase_3,True,0.75,0.005,25.0,10.0,15.0,3.7964731467139865,8.798305026269011,5.0018318795550245,0.07051790414484514,0.9997725024313963,0.0554695219719203,0.0020561742537502357,-0.609419845553506,0.005
cubic,1.0,q_only,fft_phase_4,True,0.75,0.01,38.0,13.0,25.0,5.397649160808857,10.13842877297526,4.740779612166403,0.2342306832337957,0.8702143788748719,0.04989901123634287,0.005230305200866849,-0.5602940524187102,0.01
cubic,1.0,q_only,fft_phase_5,True,0.75,0.01,35.0,15.0,20.0,6.431409667998592,8.999789633830208,2.5683799658316158,0.7364298960352847,0.9859268814585492,-0.050181791185163006,-6.656746046815884e-05,-0.05709863787371927,0.01
cubic,1.0,q_only,fft_phase_6,True,0.75,0.005,23.0,12.0,11.0,5.0085337130984575,10.493444299873083,5.4849105867746255,0.0029054462665026436,0.8986819274768575,0.10486401384243349,0.0007592151711531761,-0.4950874531267615,0.005
cubic,1.0,q_only,fft_phase_7,True,0.75,0.005,32.0,18.0,14.0,6.478461259320065,9.734761246305723,3.256299986985658,0.29384423583505176,0.9343214168836618,-0.01380704416641679,-0.00026033102063830144,-0.2762205375733126,0.005
cubic,1.0,q_only,fft_phase_8,True,0.75,0.01,29.0,10.0,19.0,3.414401588970358,9.534174548078079,6.119772959107721,0.004702421957858951,0.9791921490072992,0.07300320113398343,0.000874284870415718,-0.5396553762627905,0.01
cubic,1.0,q_only,fft_phase_9,True,0.75,0.005,22.0,11.0,11.0,6.549314378907371,9.543760533164239,2.9944461542568677,0.023433466736149874,0.9571397055741481,0.06049291104568074,0.0008869678639688466,-0.5974677468217001,0.005
cubic,1.0,q_only,fft_phase_10,True,0.75,0.01,33.0,17.0,16.0,5.459521278091532,8.623603712551581,3.1640824344600498,0.8427598906130949,0.9822103064308775,-0.07048903595386792,-0.00031842631027783036,0.0867580181469807,0.01
cubic,1.0,q_only,fft_phase_11,True,0.75,0.01,46.0,20.0,26.0,4.9675890222930805,8.947900540831894,3.980311518538813,0.4202607732873976,0.9613865262947296,-0.028114857371522254,0.002126758066140709,-0.23133304744630406,0.01
cubic,1.0,xyz_only,real,True,0.75,0.005,48.0,24.0,24.0,7.262919523166975,11.947803145348521,4.684883622181546,0.9998456820302272,0.9998285688402525,-0.05214991565551809,0.00020039954432837792,0.04860663341233795,0.005
cubic,1.0,xyz_only,fft_phase_0,True,0.75,0.02,20.0,11.0,9.0,7.421282774257503,10.565430410831683,3.1441476365741794,0.46687171308897973,0.9440772377642289,-0.05222136882080682,1.4226877023779687e-05,-0.14613896498193296,0.02
cubic,1.0,xyz_only,fft_phase_1,True,0.75,0.03,21.0,8.0,13.0,4.300476103494573,7.771701993695766,3.471225890201193,0.41009050140811926,0.9848547300545202,0.01933138010059128,0.002500229204261533,-0.29146445302024154,0.03
cubic,1.0,xyz_only,fft_phase_2,True,0.75,0.02,20.0,9.0,11.0,4.42666467099299,8.253091061525296,3.8264263905323066,0.5275123377387771,0.997293293278463,0.0010132664069082975,0.0016722270152545531,-0.24321572927145174,0.02
cubic,1.0,xyz_only,fft_phase_3,False,,,,,,,,,,,,,,
cubic,1.0,xyz_only,fft_phase_4,True,0.75,0.02,19.0,9.0,10.0,7.155998097501282,9.510604284154173,2.354606186652891,0.6042587533042598,0.9647965554020185,-0.0416775243783571,-4.6335160020798854e-05,-0.10217668929433787,0.02
cubic,1.0,xyz_only,fft_phase_5,False,,,,,,,,,,,,,,
cubic,1.0,xyz_only,fft_phase_6,False,,,,,,,,,,,,,,
cubic,1.0,xyz_only,fft_phase_7,True,0.75,0.03,29.0,11.0,18.0,4.879398188256979,9.100517648868387,4.2211194606114075,0.3474910499408456,0.8880031554505511,-0.006107009441516525,0.00032582799421130546,-0.3793769412725813,0.03
cubic,1.0,xyz_only,fft_phase_8,True,0.75,0.02,31.0,15.0,16.0,5.557958520829055,9.527628728166604,3.9696702073375496,0.39161908422808983,0.8881401801959439,-0.0022649970647895395,0.006227580490972035,-0.33912742806804624,0.02
cubic,1.0,xyz_only,fft_phase_9,True,0.75,0.02,21.0,11.0,10.0,7.832287395371495,10.64353754506465,2.811250149693155,0.5079447585889494,0.9688167737261768,0.009868712767219078,0.0023619310694160383,-0.24156902014617043,0.02
cubic,1.0,xyz_only,fft_phase_10,False,,,,,,,,,,,,,,
cubic,1.0,xyz_only,fft_phase_11,True,0.75,0.03,29.0,14.0,15.0,6.209809366856824,8.383919693505039,2.174110326648215,0.4099937902339293,0.9959520637331402,0.017717045564307324,0.0024419237475608088,-0.32971891636907885,0.03
cubic,1.5,score_q,real,True,0.75,0.03,40.0,16.0,24.0,2.598076211353316,3.1622646657903473,0.5641884544370313,0.3560241046865898,0.965508777701428,0.04641959331874013,-0.0013470705412607798,-0.26923535735438403,0.03
cubic,1.5,score_q,fft_phase_0,True,0.75,0.01,27.0,14.0,13.0,8.470759513391398,10.761681233419587,2.290921720028189,0.8551315669391139,0.9854446356781112,-0.09835981431722343,9.759568100977242e-07,0.1219627491355626,0.01
cubic,1.5,score_q,fft_phase_1,True,0.75,0.01,38.0,17.0,21.0,3.7106615778193377,8.428260330179272,4.717598752359935,0.5308360431708792,0.9602747845341045,0.0029903020089332086,0.0008598635711502628,-0.1835635142684462,0.01
cubic,1.5,score_q,fft_phase_2,True,0.75,0.01,27.0,13.0,14.0,6.713804512903253,9.112413518509625,2.398609005606372,0.8326870187350269,0.9883081347569596,-0.07774874875060162,0.0004343217870500122,0.15733394438616977,0.01
cubic,1.5,score_q,fft_phase_3,True,0.75,0.01,16.0,8.0,8.0,4.837034182587873,7.179651075138423,2.3426168925505504,0.6994692052730308,0.9620924200452917,-0.11791789256716065,-1.2238948503327295e-07,0.15317228377707004,0.01
cubic,1.5,score_q,fft_phase_4,True,0.75,0.02,33.0,13.0,20.0,8.227745390300427,10.459481362423947,2.23173597212352,0.8466331688315195,0.9997392976903174,-0.07136296828911494,7.579846296102869e-06,0.027250073459512136,0.02
cubic,1.5,score_q,fft_phase_5,True,0.75,0.005,26.0,11.0,15.0,7.861096820916529,10.791318441412727,2.930221620496198,0.9507904259187167,0.998394710489359,-0.08032006201170475,0.00022105669013025114,0.22635192736255383,0.005
cubic,1.5,score_q,fft_phase_6,True,0.75,0.02,46.0,25.0,21.0,7.633753048139917,10.02216686285731,2.388413814717392,0.48589180798969944,0.9925285676861886,0.004145463817007561,0.0017288799001332754,-0.289463823390801,0.02
cubic,1.5,score_q,fft_phase_7,True,0.75,0.005,23.0,9.0,14.0,4.882270160639439,9.235411427018644,4.353141266379205,0.27538754193571235,0.92291645214912,0.008231750079545148,0.0016245199567717554,-0.34924274434411895,0.005
cubic,1.5,score_q,fft_phase_8,True,0.75,0.01,21.0,12.0,9.0,7.575840096623151,8.961094698030529,1.3852546014073779,0.5564072126716524,0.9056769656458075,-0.05730156580122026,-6.224744766990636e-05,-0.15894839601514255,0.01
cubic,1.5,score_q,fft_phase_9,True,0.75,0.02,33.0,16.0,17.0,8.5832610079369,10.817766507212898,2.2345054992759987,0.7554309481668318,0.9881362036801551,-0.06179465382553771,1.25347448296577e-05,0.002890353742887819,0.02
cubic,1.5,score_q,fft_phase_10,True,0.75,0.01,25.0,11.0,14.0,7.880942993603878,10.822206018455558,2.94126302485168,0.5435979569387652,0.9672935334452214,-0.0641730554092902,3.5516237576536836e-05,-0.21062532039728699,0.01
cubic,1.5,score_q,fft_phase_11,True,0.75,0.01,35.0,18.0,17.0,9.193546928029667,11.250288354208491,2.0567414261788244,0.5459154195175918,0.9847347153730164,-0.006641960033656372,0.002355208040043735,-0.22543288800638694,0.01
cubic,1.5,score_iso,real,True,0.75,0.03,40.0,16.0,24.0,2.598076211353316,3.1622646657903473,0.5641884544370313,0.3560241046865898,0.965508777701428,0.04641959331874013,-0.0013470705412607798,-0.26923535735438403,0.03
cubic,1.5,score_iso,fft_phase_0,True,0.75,0.01,24.0,11.0,13.0,7.827407602725605,9.788382852486857,1.9609752497612511,0.7739398872078157,0.9978747388878616,-0.06067010933799345,0.00028326081182590904,0.039018650227084395,0.01
cubic,1.5,score_iso,fft_phase_1,True,0.75,0.01,37.0,15.0,22.0,7.771565665186782,10.055319007251073,2.2837533420642915,0.8427324049504364,0.9792879519749361,-0.08080036259559384,2.8477946492758144e-05,0.1011373346307719,0.01
cubic,1.5,score_iso,fft_phase_2,True,0.75,0.005,25.0,14.0,11.0,5.749658598086933,8.377747881971754,2.6280892838848207,0.727878670681583,0.9680478975983954,-0.11195094033357668,1.305710178739531e-06,0.10478093863053206,0.005
cubic,1.5,score_iso,fft_phase_3,True,0.75,0.01,34.0,15.0,19.0,6.611441088430125,10.026617987153207,3.4151768987230824,0.4356784417563483,0.7995595704400362,-0.024770947474989514,0.0018577241782818006,-0.41780216926234004,0.01
cubic,1.5,score_iso,fft_phase_4,True,0.75,0.01,19.0,11.0,8.0,7.447835218279258,9.267371464819648,1.8195362465403901,0.5760731324126425,0.9561275354245028,-0.0613883315914813,-3.008637884000682e-06,-0.014722053734757212,0.01
cubic,1.5,score_iso,fft_phase_5,True,0.75,0.02,31.0,14.0,17.0,8.362448199323401,9.823526918704564,1.4610787193811632,0.7087274402807444,0.9823901466716761,-0.05362731502023178,-3.2060155141455145e-05,-0.042151020240086434,0.02
cubic,1.5,score_iso,fft_phase_6,True,0.75,0.01,34.0,12.0,22.0,5.182906802800381,8.528720811078145,3.345814008277764,0.6860896666264137,0.9989748609668758,-0.03041714724136757,0.0013109003561574688,-0.12253210000683556,0.01
cubic,1.5,score_iso,fft_phase_7,True,0.75,0.01,34.0,19.0,15.0,8.763936888947,10.80153026484319,2.03759337589619,0.6030053421677709,0.9939060950656043,-0.03117112605436623,-0.0010903574929485664,-0.118958688580737,0.01
cubic,1.5,score_iso,fft_phase_8,True,0.75,0.005,22.0,9.0,13.0,5.374997891233981,8.474176757071,3.0991788658370183,0.43863657869280326,0.9363773380562,0.010427699863861828,0.0009233238092449829,-0.3271351399299559,0.005
cubic,1.5,score_iso,fft_phase_9,True,0.75,0.01,17.0,9.0,8.0,3.2681051356628115,7.740717299182805,4.472612163519994,0.765884573130484,0.9655413410926403,-0.129624800834294,-1.4439341658825558e-06,0.26185577297205775,0.01
